Name,Age,Nationality,Overall,Potential,Club,Preferred Position,CAM,CB,CDM,CF,CM,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
Wendell,23,Brazil,77,81,Bayer 04 Leverkusen,LB,71,72,74,69,72,71,76,72,72,74,69,74,63,72,77,71,76,72,72,74,69,74,63,72,77,63
Y. Sabaly,24,France,77,81,Girondins de Bordeaux,RB,64,73,73,64,66,64,76,73,66,73,64,69,59,67,76,64,76,73,66,73,64,69,59,67,76,59
R. Weidenfeller,36,Germany,77,77,Borussia Dortmund,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Hofmann,24,Germany,77,80,Borussia Mönchengladbach,CM,75,46,57,74,71,75,57,46,71,57,74,76,69,76,62,75,57,46,71,57,74,76,69,76,62,69
Timor,27,Spain,77,78,Girona CF,CB,68,72,76,66,74,68,69,72,74,76,66,66,63,63,70,68,69,72,74,76,66,66,63,63,70,63
H. Arter,27,Republic of Ireland,77,78,Bournemouth,CDM,74,70,75,72,76,74,70,70,76,75,72,72,70,72,71,74,70,70,76,75,72,72,70,72,71,70
M. Lemos,21,Uruguay,77,83,UD Las Palmas,CDM,62,76,73,62,64,62,73,76,64,73,62,63,63,62,71,62,73,76,64,73,62,63,63,62,71,63
Louri Beretta,25,Brazil,77,77,Fluminense Football Club,CF,69,50,50,73,61,69,51,50,61,50,73,68,76,71,53,69,51,50,61,50,73,68,76,71,53,76
F. Caicedo,28,Ecuador,77,77,Lazio,ST,71,60,60,74,66,71,59,60,66,60,74,70,76,71,60,71,59,60,66,60,74,70,76,71,60,76
S. Sturaro,24,Italy,77,82,Juventus,LM,74,74,76,73,76,74,75,74,76,76,73,74,71,73,76,74,75,74,76,76,73,74,71,73,76,71
Pablo Fornals,21,Spain,77,86,Villarreal CF,LM,76,68,75,72,76,76,70,68,76,75,72,73,67,73,72,76,70,68,76,75,72,73,67,73,72,67
Sergi Gómez,25,Spain,77,84,RC Celta de Vigo,CB,62,76,76,58,69,62,69,76,69,76,58,60,56,57,68,62,69,76,69,76,58,60,56,57,68,56
P. Jansson,26,Sweden,77,79,Leeds United,CB,56,76,71,55,61,56,68,76,61,71,55,55,55,53,66,56,68,76,61,71,55,55,55,53,66,55
A. Berezutskiy,35,Russia,77,77,CSKA Moscow,CB,52,76,70,51,59,52,67,76,59,70,51,53,54,50,65,52,67,76,59,70,51,53,54,50,65,54
L. Pellegrini,21,Italy,77,85,Roma,CM,75,71,74,73,76,75,73,71,76,74,73,75,71,73,74,75,73,71,76,74,73,75,71,73,74,71
A. Masiello,31,Italy,77,77,Atalanta,RB,51,76,71,51,57,51,72,76,57,71,51,56,52,53,71,51,72,76,57,71,51,56,52,53,71,52
M. Ekici,27,Turkey,77,77,Fenerbahçe SK,CDM,76,65,70,75,76,76,67,65,76,70,75,75,73,76,69,76,67,65,76,70,75,75,73,76,69,73
A. Nyom,29,Cameroon,77,77,West Bromwich Albion,RB,62,77,74,62,66,62,76,77,66,74,62,66,61,63,76,62,76,77,66,74,62,66,61,63,76,61
F. Roncaglia,30,Argentina,77,77,RC Celta de Vigo,LB,63,76,74,62,68,63,73,76,68,74,62,64,61,62,72,63,73,76,68,74,62,64,61,62,72,61
P. Hidalgado,25,Chile,77,77,Colo-Colo,CF,70,41,46,73,62,70,46,41,62,46,73,69,76,72,49,70,46,41,62,46,73,69,76,72,49,76
J. De Guzmán,29,Netherlands,77,77,Eintracht Frankfurt,CM,76,57,64,76,73,76,63,57,73,64,76,76,72,76,66,76,63,57,73,64,76,76,72,76,66,72
M. Gradel,29,Ivory Coast,77,77,Toulouse FC,LM,76,53,59,76,70,76,60,53,70,59,76,76,74,77,63,76,60,53,70,59,76,76,74,77,63,74
M. Debuchy,31,France,77,77,Arsenal,RB,70,76,74,69,71,70,75,76,71,74,69,71,69,70,75,70,75,76,71,74,69,71,69,70,75,69
C. Candero,29,Chile,77,77,Universidad de Chile,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Terodde,29,Germany,77,77,VfB Stuttgart,ST,67,49,49,71,61,67,48,49,61,49,71,66,76,68,50,67,48,49,61,49,71,66,76,68,50,76
Recio,26,Spain,77,81,Málaga CF,CM,73,72,76,72,76,73,70,72,76,76,72,71,69,70,71,73,70,72,76,76,72,71,69,70,71,69
R. Zobnin,23,Russia,77,84,Spartak Moscow,LM,73,73,76,71,76,73,75,73,76,76,71,74,66,72,76,73,75,73,76,76,71,74,66,72,76,66
Fábio Coentrão,29,Portugal,77,77,Sporting CP,LM,71,75,74,71,72,71,75,75,72,74,71,73,69,72,75,71,75,75,72,74,71,73,69,72,75,69
J. Campbell,25,Costa Rica,77,80,Real Betis Balompié,CAM,76,54,60,76,70,76,60,54,70,60,76,76,73,77,63,76,60,54,70,60,76,76,73,77,63,73
C. Stuani,30,Uruguay,77,77,Girona CF,RM,72,58,60,74,68,72,59,58,68,60,74,72,76,72,61,72,59,58,68,60,74,72,76,72,61,76
A. Veznera,29,Chile,77,77,Colo-Colo,LM,68,77,75,69,70,68,76,77,70,75,69,71,70,70,76,68,76,77,70,75,69,71,70,70,76,70
J. Willems,23,Netherlands,77,81,Eintracht Frankfurt,LB,74,74,75,73,75,74,76,74,75,75,73,76,70,75,77,74,76,74,75,75,73,76,70,75,77,70
A. Lennon,30,England,77,77,Everton,RM,75,48,57,74,68,75,58,48,68,57,74,76,67,76,63,75,58,48,68,57,74,76,67,76,63,67
T. Lagardo,29,Chile,77,77,Universidad de Chile,LM,71,67,70,71,71,71,76,67,71,70,71,73,66,73,76,71,76,67,71,70,71,73,66,73,76,66
F. Forster,29,England,77,78,Southampton,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Okaka,27,Italy,77,77,Watford,ST,69,48,48,73,61,69,48,48,61,48,73,68,76,70,50,69,48,48,61,48,73,68,76,70,50,76
Aritz Elustondo,23,Spain,77,84,Real Sociedad,CB,54,75,70,53,58,54,76,75,58,70,53,59,53,56,74,54,76,75,58,70,53,59,53,56,74,53
Ricardo Ferreira,24,Portugal,77,81,SC Braga,CB,50,76,69,50,56,50,67,76,56,69,50,51,52,48,64,50,67,76,56,69,50,51,52,48,64,52
W. Morgan,33,Jamaica,77,77,Leicester City,CB,50,76,68,49,57,50,63,76,57,68,49,48,50,45,61,50,63,76,57,68,49,48,50,45,61,50
J. Lukaku,22,Belgium,77,83,Lazio,LB,71,74,74,71,71,71,76,74,71,74,71,74,69,73,76,71,76,74,71,74,71,74,69,73,76,69
M. Philipp,23,Germany,77,82,Borussia Dortmund,RW,77,46,55,77,70,77,53,46,70,55,77,75,75,77,57,77,53,46,70,55,77,75,75,77,57,75
C. Davies,32,England,77,77,Derby County,CB,54,76,69,53,59,54,68,76,59,69,53,53,55,51,64,54,68,76,59,69,53,53,55,51,64,55
C. Kouyaté,27,Senegal,77,79,West Ham United,RB,69,78,76,70,71,69,75,78,71,76,70,70,72,68,74,69,75,78,71,76,70,70,72,68,74,72
N. Pejčinović,29,Serbia,77,77,Lokomotiv Moscow,RB,54,76,71,52,60,54,70,76,60,71,52,56,53,52,69,54,70,76,60,71,52,56,53,52,69,53
M. Lang,26,Switzerland,77,79,FC Basel,RM,66,76,74,67,69,66,76,76,69,74,67,69,71,68,76,66,76,76,69,74,67,69,71,68,76,71
Álvaro,27,Spain,77,79,Villarreal CF,RB,53,76,70,52,58,53,72,76,58,70,52,56,52,53,69,53,72,76,58,70,52,56,52,53,69,52
J. Leca,31,France,77,77,AC Ajaccio,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Abdennour,27,Tunisia,77,79,Olympique de Marseille,LB,55,76,69,56,59,55,69,76,59,69,56,56,60,55,66,55,69,76,59,69,56,56,60,55,66,60
Charles,33,Brazil,77,77,SD Eibar,ST,70,49,50,74,62,70,49,49,62,50,74,68,76,72,51,70,49,49,62,50,74,68,76,72,51,76
E. Hernández,29,Mexico,77,77,Club León,RM,76,54,62,74,73,76,63,54,73,62,74,76,70,76,66,76,63,54,73,62,74,76,70,76,66,70
Mexer,28,Mozambique,77,78,Stade Rennais FC,CB,63,76,73,60,66,63,71,76,66,73,60,61,59,60,70,63,71,76,66,73,60,61,59,60,70,59
F. Magnanelli,32,Italy,77,77,Sassuolo,CDM,67,73,76,64,71,67,72,73,71,76,64,66,62,64,72,67,72,73,71,76,64,66,62,64,72,62
M. Kranevitter,24,Argentina,77,85,Zenit St. Petersburg,CM,67,75,76,64,71,67,74,75,71,76,64,67,60,65,74,67,74,75,71,76,64,67,60,65,74,60
M. Hinteregger,24,Austria,77,82,FC Augsburg,CB,63,76,73,62,67,63,71,76,67,73,62,62,65,60,69,63,71,76,67,73,62,62,65,60,69,65
S. Azmoun,22,Iran,77,85,Rubin Kazan,ST,72,53,55,74,65,72,55,53,65,55,74,72,76,74,56,72,55,53,65,55,74,72,76,74,56,76
S. Driussi,21,Argentina,77,85,Zenit St. Petersburg,LW,77,43,52,76,71,77,50,43,71,52,76,76,76,76,54,77,50,43,71,52,76,76,76,76,54,76
C. Sánchez,32,Uruguay,77,77,Monterrey,RM,76,62,69,76,76,76,68,62,76,69,76,77,74,76,70,76,68,62,76,69,76,77,74,76,70,74
W. Hoedt,23,Netherlands,77,83,Southampton,CB,59,76,73,58,65,59,70,76,65,73,58,58,57,55,68,59,70,76,65,73,58,58,57,55,68,57
P. Hetemaj,30,Finland,77,77,Chievo Verona,LM,75,73,76,73,76,75,75,73,76,76,73,76,70,74,77,75,75,73,76,76,73,76,70,74,77,70
A. Januzaj,22,Belgium,77,84,Real Sociedad,CAM,76,35,50,74,69,76,48,35,69,50,74,76,66,76,53,76,48,35,69,50,74,76,66,76,53,66
K. Tete,21,Netherlands,77,83,Olympique Lyonnais,RB,59,77,73,59,63,59,76,77,63,73,59,63,58,60,74,59,76,77,63,73,59,63,58,60,74,58
Diogo Jota,20,Portugal,77,86,Wolverhampton Wanderers,ST,77,57,62,78,73,77,61,57,73,62,78,76,76,77,63,77,61,57,73,62,78,76,76,77,63,76
Bruno César,28,Brazil,77,77,Sporting CP,CM,77,68,74,76,78,77,71,68,78,74,76,76,74,76,73,77,71,68,78,74,76,76,74,76,73,74
M. Diouf,29,Senegal,77,77,Stoke City,RM,70,70,67,73,68,70,69,70,68,67,73,71,76,71,69,70,69,70,68,67,73,71,76,71,69,76
M. Valdifiori,31,Italy,77,77,Torino,CM,73,71,76,69,77,73,72,71,77,76,69,72,64,70,73,73,72,71,77,76,69,72,64,70,73,64
Rafael Tolói,26,Brazil,77,80,Atalanta,CB,56,76,71,55,61,56,68,76,61,71,55,54,55,52,65,56,68,76,61,71,55,54,55,52,65,55
B. Oczipka,28,Germany,77,77,FC Schalke 04,LM,68,75,75,68,71,68,76,75,71,75,68,71,67,69,76,68,76,75,71,75,68,71,67,69,76,67
Y. Sankharé,27,Senegal,77,77,Girondins de Bordeaux,CM,74,76,76,73,76,74,74,76,76,76,73,73,73,72,74,74,74,76,76,76,73,73,73,72,74,73
S. Bell,25,Germany,77,80,1. FSV Mainz 05,CB,53,76,71,52,60,53,70,76,60,71,52,54,55,51,67,53,70,76,60,71,52,54,55,51,67,55
M. Marega,26,Mali,77,77,FC Porto,LM,68,53,54,71,62,68,53,53,62,54,71,68,76,68,55,68,53,53,62,54,71,68,76,68,55,76
B. André,26,France,77,79,Stade Rennais FC,LM,74,74,76,72,76,74,74,74,76,76,72,74,70,73,75,74,74,74,76,76,72,74,70,73,75,70
A. Baba,22,Ghana,77,84,Chelsea,LM,68,74,73,68,69,68,76,74,69,73,68,72,65,70,76,68,76,74,69,73,68,72,65,70,76,65
Rony Lopes,21,Portugal,77,84,AS Monaco,RM,77,41,54,75,70,77,52,41,70,54,75,76,70,76,57,77,52,41,70,54,75,76,70,76,57,70
S. Davis,32,Northern Ireland,77,77,Southampton,CDM,74,69,74,71,76,74,71,69,76,74,71,74,67,72,73,74,71,69,76,74,71,74,67,72,73,67
A. Diawara,19,Guinea,77,87,Napoli,CM,72,71,76,68,75,72,73,71,75,76,68,72,63,69,74,72,73,71,75,76,68,72,63,69,74,63
Everticinho,29,Brazil,77,77,Sociedade Esportiva Palmeiras,CM,74,72,73,74,73,74,76,72,73,73,74,75,73,75,77,74,76,72,73,73,74,75,73,75,77,73
H. Saivet,26,Senegal,77,80,Newcastle United,CDM,77,68,70,76,76,77,70,68,76,70,76,77,75,76,72,77,70,68,76,70,76,77,75,76,72,75
Yuri,27,Spain,77,78,Paris Saint-Germain,LB,62,76,72,62,65,62,76,76,65,72,62,66,63,65,75,62,76,76,65,72,62,66,63,65,75,63
J. Gouweleeuw,25,Netherlands,77,79,FC Augsburg,CB,66,76,74,65,70,66,73,76,70,74,65,65,65,64,71,66,73,76,70,74,65,65,65,64,71,65
T. Kongolo,23,Netherlands,77,82,AS Monaco,CB,61,77,73,60,65,61,76,77,65,73,60,64,59,62,75,61,76,77,65,73,60,64,59,62,75,59
I. Radovanović,28,Serbia,77,77,Chievo Verona,CM,69,75,76,67,74,69,71,75,74,76,67,68,66,65,71,69,71,75,74,76,67,68,66,65,71,66
Sergio,30,Spain,77,77,RC Celta de Vigo,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
Rui Fonte,27,Portugal,77,78,Fulham,ST,74,51,57,75,70,74,54,51,70,57,75,73,76,73,56,74,54,51,70,57,75,73,76,73,56,76
M. Cáceres,30,Uruguay,77,77,Hellas Verona,RB,61,76,72,60,64,61,74,76,64,72,60,63,61,61,72,61,74,76,64,72,60,63,61,61,72,61
L. Milivojević,26,Serbia,77,81,Crystal Palace,CM,68,74,76,67,73,68,72,74,73,76,67,68,67,66,72,68,72,74,73,76,67,68,67,66,72,67
D. Latza,27,Germany,77,78,1. FSV Mainz 05,CDM,73,71,76,70,76,73,73,71,76,76,70,73,64,70,74,73,73,71,76,76,70,73,64,70,74,64
S. Arias,25,Colombia,77,80,PSV,RB,67,72,73,66,69,67,76,72,69,73,66,71,62,68,76,67,76,72,69,73,66,71,62,68,76,62
O. Ndidi,20,Nigeria,77,86,Leicester City,CM,68,77,76,67,71,68,75,77,71,76,67,67,67,65,74,68,75,77,71,76,67,67,67,65,74,67
O. Trejo,29,Argentina,77,77,Rayo Vallecano,ST,76,65,70,75,75,76,68,65,75,70,75,76,73,75,70,76,68,65,75,70,75,76,73,75,70,73
V. Janssen,23,Netherlands,77,82,Fenerbahçe SK,ST,70,46,49,73,62,70,47,46,62,49,73,67,76,69,49,70,47,46,62,49,73,67,76,69,49,76
G. Clichy,31,France,77,77,İstanbul Başakşehir FK,LB,66,72,72,64,68,66,75,72,68,72,64,69,61,67,75,66,75,72,68,72,64,69,61,67,75,61
C. Ruvios,33,Chile,77,77,Colo-Colo,CF,76,41,54,75,71,76,53,41,71,54,75,76,71,76,57,76,53,41,71,54,75,76,71,76,57,71
Otávio,22,Brazil,77,83,FC Porto,CAM,77,49,59,76,73,77,56,49,73,59,76,76,71,77,60,77,56,49,73,59,76,76,71,77,60,71
J. Shelvey,25,England,77,82,Newcastle United,CDM,75,66,71,73,76,75,66,66,76,71,73,73,72,72,68,75,66,66,76,71,73,73,72,72,68,72
G. Kondogbia,24,France,77,81,Valencia CF,CM,74,75,76,74,76,74,74,75,76,76,74,73,73,72,74,74,74,75,76,76,74,73,73,72,74,73
R. Vormer,29,Netherlands,77,77,Club Brugge KV,RM,73,73,76,73,76,73,74,73,76,76,73,74,73,72,75,73,74,73,76,76,73,74,73,72,75,73
L. Fer,27,Netherlands,77,78,Swansea City,CDM,75,73,74,75,76,75,73,73,76,74,75,75,76,74,73,75,73,73,76,74,75,75,76,74,73,76
J. Maidana,31,Argentina,77,77,River Plate,CB,55,76,72,53,62,55,69,76,62,72,53,56,54,53,67,55,69,76,62,72,53,56,54,53,67,54
R. Funes Mori,26,Argentina,77,81,Everton,CB,60,76,70,60,62,60,73,76,62,70,60,63,61,61,72,60,73,76,62,70,60,63,61,61,72,61
S. Cook,26,England,77,81,Bournemouth,CB,51,76,72,48,58,51,69,76,58,72,48,53,49,49,67,51,69,76,58,72,48,53,49,49,67,49
A. Chedjou,32,Cameroon,77,77,İstanbul Başakşehir FK,CB,64,75,73,62,67,64,71,75,67,73,62,64,64,62,70,64,71,75,67,73,62,64,64,62,70,64
F. Higuaín,32,Argentina,77,77,Columbus Crew SC,CF,76,54,62,75,73,76,59,54,73,62,75,74,72,74,61,76,59,54,73,62,75,74,72,74,61,72
Sergio Álvarez,25,Spain,77,81,Real Sporting de Gijón,CDM,72,72,77,71,76,72,72,72,76,77,71,70,69,68,72,72,72,72,76,77,71,70,69,68,72,69
L. Holtby,26,Germany,77,78,Hamburger SV,CM,76,61,71,74,76,76,68,61,76,71,74,76,68,75,72,76,68,61,76,71,74,76,68,75,72,68
D. Janmaat,27,Netherlands,77,77,Watford,RWB,71,75,75,71,73,71,76,75,73,75,71,73,70,71,77,71,76,75,73,75,71,73,70,71,77,70
O. Alonso,31,Cuba,77,77,Seattle Sounders FC,CM,73,74,76,72,75,73,72,74,75,76,72,71,70,69,73,73,72,74,75,76,72,71,70,69,73,70
Ari,31,Brazil,77,77,Lokomotiv Moscow,RW,75,51,56,76,69,75,54,51,69,56,76,75,76,76,57,75,54,51,69,56,76,75,76,76,57,76
P. Schick,21,Czech Republic,77,87,Roma,ST,76,44,51,77,68,76,49,44,68,51,77,74,76,76,53,76,49,44,68,51,77,74,76,76,53,76
A. Schöpf,23,Austria,77,82,FC Schalke 04,RW,74,58,65,74,72,74,66,58,72,65,74,76,70,76,70,74,66,58,72,65,74,76,70,76,70,70
J. Clasie,26,Netherlands,77,80,Club Brugge KV,CM,74,68,76,71,76,74,69,68,76,76,71,72,65,71,72,74,69,68,76,76,71,72,65,71,72,65
J. Ménez,30,France,77,77,Antalyaspor,LW,78,42,52,78,70,78,51,42,70,52,78,77,75,79,56,78,51,42,70,52,78,77,75,79,56,75
S. Sinclair,28,England,77,77,Celtic,LM,75,47,54,76,68,75,57,47,68,54,76,76,75,77,61,75,57,47,68,54,76,76,75,77,61,75
L. Krejčí,24,Czech Republic,77,80,Bologna,RM,76,51,61,76,73,76,61,51,73,61,76,78,70,77,65,76,61,51,73,61,76,78,70,77,65,70
H. Maguire,24,England,77,83,Leicester City,CB,56,76,71,55,62,56,67,76,62,71,55,56,55,53,65,56,67,76,62,71,55,56,55,53,65,55
G. Escalante,24,Argentina,77,84,SD Eibar,CM,69,76,76,68,72,69,75,76,72,76,68,69,66,67,75,69,75,76,72,76,68,69,66,67,75,66
R. Alessandrini,28,France,77,77,LA Galaxy,LM,75,48,56,76,70,75,57,48,70,56,76,76,73,77,61,75,57,48,70,56,76,76,73,77,61,73
S. Long,30,Republic of Ireland,76,76,Southampton,ST,70,53,54,73,64,70,56,53,64,54,73,72,75,73,58,70,56,53,64,54,73,72,75,73,58,75
S. Berahino,23,England,76,82,Stoke City,ST,70,42,47,74,62,70,48,42,62,47,74,70,75,72,51,70,48,42,62,47,74,70,75,72,51,75
Agirretxe,30,Spain,76,76,Real Sociedad,ST,70,57,56,72,64,70,51,57,64,56,72,65,75,68,52,70,51,57,64,56,72,65,75,68,52,75
M. Harnik,30,Austria,76,76,Hannover 96,RM,73,55,59,74,69,73,59,55,69,59,74,74,75,73,61,73,59,55,69,59,74,74,75,73,61,75
K. Grosicki,29,Poland,76,76,Hull City,LW,74,46,54,75,69,74,54,46,69,54,75,75,74,76,58,74,54,46,69,54,75,75,74,76,58,74
A. Finnbogason,28,Iceland,76,76,FC Augsburg,ST,74,47,54,75,69,74,49,47,69,54,75,70,75,71,51,74,49,47,69,54,75,70,75,71,51,75
G. Pereiro,22,Uruguay,76,82,PSV,LW,75,53,57,76,69,75,57,53,69,57,76,75,76,76,60,75,57,53,69,57,76,75,76,76,60,76
Aarón Martín,20,Spain,76,84,RCD Espanyol,LB,59,74,71,59,62,59,75,74,62,71,59,64,57,62,75,59,75,74,62,71,59,64,57,62,75,57
G. Morenda,25,Chile,76,76,Colo-Colo,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Vossen,28,Belgium,76,76,Club Brugge KV,ST,73,53,60,74,71,73,58,53,71,60,74,72,75,72,60,73,58,53,71,60,74,72,75,72,60,75
B. Cesar,34,Slovenia,76,76,Chievo Verona,CB,43,75,66,42,50,43,62,75,50,66,42,43,44,40,59,43,62,75,50,66,42,43,44,40,59,44
D. Tarasov,30,Russia,76,76,Lokomotiv Moscow,CDM,67,77,75,65,71,67,71,77,71,75,65,66,64,65,71,67,71,77,71,75,65,66,64,65,71,64
Ricardo Horta,22,Portugal,76,83,SC Braga,RM,75,40,52,75,69,75,53,40,69,52,75,75,70,75,58,75,53,40,69,52,75,75,70,75,58,70
C. Davilo,25,Chile,76,76,Universidad Católica,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
R. Ahumera,29,Chile,76,76,CD O'Higgins,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Patrick,26,Brazil,76,77,Shakhtar Donetsk,RM,75,41,53,75,70,75,53,41,70,53,75,75,71,76,57,75,53,41,70,53,75,75,71,76,57,71
Portu,25,Spain,76,80,Girona CF,RM,77,66,70,77,75,77,68,66,75,70,77,75,75,75,69,77,68,66,75,70,77,75,75,75,69,75
Palhinha,21,Portugal,76,84,Sporting CP,CM,62,75,75,60,68,62,70,75,68,75,60,62,60,59,70,62,70,75,68,75,60,62,60,59,70,60
V. Demirel,35,Turkey,76,76,Fenerbahçe SK,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
Y. Lodygin,27,Russia,76,78,Zenit St. Petersburg,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
L. Bailey,19,Jamaica,76,86,Bayer 04 Leverkusen,RM,74,41,50,74,67,74,50,41,67,50,74,75,71,76,55,74,50,41,67,50,74,75,71,76,55,71
J. Olsson,34,Sweden,76,76,Djurgårdens IF,CB,54,75,69,53,59,54,65,75,59,69,53,52,55,50,62,54,65,75,59,69,53,52,55,50,62,55
M. Lehmann,34,Germany,76,76,1. FC Köln,CDM,69,73,75,66,74,69,69,73,74,75,66,66,64,65,70,69,69,73,74,75,66,66,64,65,70,64
L. Koné,28,Ivory Coast,76,77,Sunderland,CB,52,75,68,53,57,52,68,75,57,68,53,56,56,53,67,52,68,75,57,68,53,56,56,53,67,56
J. Korb,25,Germany,76,78,Hannover 96,RB,68,71,72,67,68,68,75,71,68,72,67,71,62,70,76,68,75,71,68,72,67,71,62,70,76,62
D. Ings,24,England,76,80,Liverpool,ST,74,49,54,75,67,74,54,49,67,54,75,74,75,75,57,74,54,49,67,54,75,74,75,75,57,75
L. Rupp,26,Germany,76,77,TSG 1899 Hoffenheim,CDM,75,65,72,73,75,75,71,65,75,72,73,75,68,74,74,75,71,65,75,72,73,75,68,74,74,68
T. Strobl,27,Germany,76,78,Borussia Mönchengladbach,CB,62,76,75,60,68,62,71,76,68,75,60,61,59,58,70,62,71,76,68,75,60,61,59,58,70,59
M. Rog,21,Croatia,76,86,Napoli,CM,75,52,61,73,72,75,59,52,72,61,73,74,67,74,62,75,59,52,72,61,73,74,67,74,62,67
F. Fabra,26,Colombia,76,79,Boca Juniors,LB,65,72,69,67,64,65,75,72,64,69,67,70,66,69,75,65,75,72,64,69,67,70,66,69,75,66
M. Lestienne,25,Belgium,76,77,Rubin Kazan,ST,75,44,56,75,70,75,56,44,70,56,75,76,70,76,60,75,56,44,70,56,75,76,70,76,60,70
F. Kessié,20,Ivory Coast,76,86,Milan,CDM,74,74,76,74,75,74,74,74,75,76,74,75,72,73,75,74,74,74,75,76,74,75,72,73,75,72
M. Alustiza,33,Argentina,76,76,Club Atlas,CAM,73,47,52,75,66,73,51,47,66,52,75,72,75,74,53,73,51,47,66,52,75,72,75,74,53,75
Manquillo,23,Spain,76,82,Newcastle United,LB,63,71,71,63,66,63,75,71,66,71,63,69,62,66,75,63,75,71,66,71,63,69,62,66,75,62
N. Petersen,28,Germany,76,76,SC Freiburg,ST,67,48,50,70,61,67,49,48,61,50,70,66,75,67,51,67,49,48,61,50,70,66,75,67,51,75
R. Yanbaev,33,Russia,76,76,FC Krasnodar,RM,67,70,71,67,68,67,75,70,68,71,67,71,65,69,75,67,75,70,68,71,67,71,65,69,75,65
R. Rey,26,Argentina,76,79,PAOK Thessaloniki,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
T. Cleverley,27,England,76,76,Watford,CDM,75,62,69,73,75,75,66,62,75,69,73,74,69,73,69,75,66,62,75,69,73,74,69,73,69,69
D. Fletcher,33,Scotland,76,76,Stoke City,CDM,70,78,79,68,75,70,75,78,75,79,68,68,68,67,75,70,75,78,75,79,68,68,68,67,75,68
J. Jankto,21,Czech Republic,76,85,Udinese,LM,76,66,70,76,75,76,70,66,75,70,76,76,72,75,71,76,70,66,75,70,76,76,72,75,71,72
C. Atsu,25,Ghana,76,79,Newcastle United,CM,75,46,55,74,69,75,57,46,69,55,74,75,70,76,60,75,57,46,69,55,74,75,70,76,60,70
A. Dembal,29,Chile,76,76,Universidad Católica,LM,70,73,74,68,72,70,75,73,72,74,68,72,65,70,76,70,75,73,72,74,68,72,65,70,76,65
Javi López,31,Spain,76,76,RCD Espanyol,RB,68,74,74,67,70,68,75,74,70,74,67,70,64,68,75,68,75,74,70,74,67,70,64,68,75,64
S. Vokes,27,Wales,76,77,Burnley,ST,71,57,59,73,68,71,55,57,68,59,73,70,75,70,57,71,55,57,68,59,73,70,75,70,57,75
P. Gulácsi,27,Hungary,76,77,RB Leipzig,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Chahechouhe,30,Morocco,76,76,Fenerbahçe SK,CAM,75,45,54,76,70,75,54,45,70,54,76,75,74,76,58,75,54,45,70,54,76,75,74,76,58,74
Xandão,29,Brazil,76,76,Real Sporting de Gijón,CB,54,75,69,54,59,54,66,75,59,69,54,54,56,52,64,54,66,75,59,69,54,54,56,52,64,56
E. Capoue,28,France,76,76,Watford,CDM,72,73,75,73,75,72,73,73,75,75,73,73,72,71,74,72,73,73,75,75,73,73,72,71,74,72
G. Sertic,27,France,76,76,Olympique de Marseille,CB,72,73,75,72,74,72,72,73,74,75,72,72,71,71,73,72,72,73,74,75,72,72,71,71,73,71
M. Pašalić,22,Croatia,76,85,Spartak Moscow,CDM,74,71,74,73,75,74,71,71,75,74,73,73,72,73,72,74,71,71,75,74,73,73,72,73,72,72
I. Traoré,30,Ivory Coast,76,76,Angers SCO,CB,52,75,72,48,60,52,69,75,60,72,48,52,48,48,66,52,69,75,60,72,48,52,48,48,66,48
B. Fornaroli,29,Uruguay,76,76,Melbourne City,ST,73,52,55,75,66,73,55,52,66,55,75,72,75,73,57,73,55,52,66,55,75,72,75,73,57,75
I. Ordets,24,Ukraine,76,82,Shakhtar Donetsk,CB,53,75,71,54,59,53,71,75,59,71,54,54,59,52,68,53,71,75,59,71,54,54,59,52,68,59
D. Santon,26,Italy,76,78,Inter,RB,69,73,73,68,71,69,75,73,71,73,68,71,66,69,75,69,75,73,71,73,68,71,66,69,75,66
Jairo,23,Spain,76,81,1. FSV Mainz 05,RM,75,44,53,75,68,75,54,44,68,53,75,75,70,76,58,75,54,44,68,53,75,75,70,76,58,70
Diego Carlos,24,Brazil,76,79,FC Nantes,CB,57,75,70,58,61,57,68,75,61,70,58,57,59,55,66,57,68,75,61,70,58,57,59,55,66,59
C. Riveros,34,Paraguay,76,76,,CDM,74,66,71,72,75,74,67,66,75,71,72,72,70,72,69,74,67,66,75,71,72,72,70,72,69,70
P. Groß,26,Germany,76,78,Brighton & Hove Albion,LM,75,66,72,73,76,75,70,66,76,72,73,75,70,74,73,75,70,66,76,72,73,75,70,74,73,70
